Planet,mass,radius,density,g,ve,a,Tsurf,Teq,ESIi,ESIs,ESIg
55 Cnce,7.628,1.74,1.44,2.51,2.09,0.04,1300,1270,0.821,0.051,0.204
428.01,62.882,5.6,0.36,2.01,3.35,0.07,989,959,0.503,0.083,0.204
1020.01,1668.1,21.9,0.16,3.48,8.73,0.29,610,580,0.248,0.167,0.203
526.01,9.943,2.6,0.57,1.47,1.96,0.03,1233,1203,0.71,0.058,0.203
452.01,7.405,2.3,0.61,1.4,1.79,0.05,1272,1242,0.746,0.055,0.203
188.01,148.214,8,0.29,2.32,4.31,0.05,889,859,0.422,0.097,0.202
398.03,10.408,1.9,1.52,2.88,2.34,0.03,1276,1246,0.794,0.051,0.202
944.01,26.353,3.9,0.44,1.73,2.6,0.04,1110,1080,0.596,0.069,0.202
953.01,35.218,4.4,0.41,1.82,2.83,0.05,1075,1045,0.564,0.072,0.202
137.01,74.226,6,0.34,2.06,3.52,0.08,979,949,0.487,0.083,0.202
HD 108147b,82.954,6.28,0.33,2.1,3.63,0.1,969,939,0.476,0.084,0.201
890.01,131.021,7.6,0.3,2.27,4.15,0.08,908,878,0.434,0.094,0.201
889.01,369.619,11.7,0.23,2.7,5.62,0.08,784,754,0.347,0.116,0.201
1510.01,8.544,1.8,1.46,2.64,2.18,0.02,1305,1275,0.812,0.05,0.201
698.01,392.813,12,0.23,2.73,5.72,0.1,778,748,0.343,0.118,0.201
112.02,6.935,1.7,1.41,2.4,2.02,0.05,1330,1300,0.83,0.049,0.201
HD 11977b,2078.62,24,0.15,3.61,9.31,1.93,599,569,0.236,0.169,0.2
777.01,5509.49,36,0.12,4.25,12.38,0.23,501,471,0.188,0.214,0.2
510.01,10.888,2.7,0.55,1.49,2.01,0.04,1238,1208,0.699,0.057,0.2
168.01,23.22,3.7,0.46,1.7,2.51,0.1,1142,1112,0.61,0.065,0.199
851.01,60.217,5.5,0.36,1.99,3.31,0.06,1019,989,0.508,0.078,0.199
988.01,83.463,6.3,0.33,2.1,3.64,0.1,977,947,0.476,0.083,0.199
794.01,5.951,2.1,0.64,1.35,1.68,0.04,1326,1296,0.773,0.051,0.198
771.01,671.649,15,0.2,2.99,6.69,9.51,114,84,0.305,0.128,0.198
756.03,8.544,1.8,1.46,2.64,2.18,0.04,1324,1294,0.812,0.048,0.198
782.01,62.882,5.6,0.36,2.01,3.35,0.07,1019,989,0.503,0.077,0.197
710.01,6.935,1.7,1.41,2.4,2.02,0.07,1350,1320,0.83,0.047,0.197
961.01,26.353,3.9,0.44,1.73,2.6,0.02,1136,1106,0.596,0.065,0.197
800.01,10.888,2.7,0.55,1.49,2.01,0.04,1254,1224,0.699,0.056,0.197
1059.01,3.414,1.4,1.24,1.74,1.56,0.02,1430,1400,0.892,0.043,0.197
354.01,45.617,4.9,0.39,1.9,3.05,0.13,1064,1034,0.536,0.072,0.197
94.02,28.006,4,0.44,1.75,2.65,0.1,1129,1099,0.589,0.066,0.197
GJ 86b,1274.505,19.58,0.17,3.32,8.07,0.11,663,633,0.264,0.145,0.196
926.01,18.949,3.4,0.48,1.64,2.36,0.04,1184,1154,0.633,0.061,0.196
673.01,8.544,1.8,1.46,2.64,2.18,0.06,1333,1303,0.812,0.047,0.196
916.01,26.353,3.9,0.44,1.73,2.6,0.04,1142,1112,0.596,0.064,0.196
116.01,41.269,4.7,0.4,1.87,2.96,0.12,1087,1057,0.547,0.069,0.195
822.01,354.613,11.5,0.23,2.68,5.55,0.08,813,783,0.351,0.108,0.195
191.02,11.882,2.8,0.54,1.52,2.06,0.04,1256,1226,0.688,0.055,0.195
HD 114762b,3502.506,29.82,0.13,3.94,10.84,0.3,564,534,0.209,0.18,0.194
HAT-P-15b,618.501,12.03,0.36,4.27,7.17,0.1,852,822,0.413,0.091,0.194
141.01,33.324,4.3,0.42,1.8,2.78,0.04,1120,1090,0.57,0.066,0.194
883.01,253.423,10,0.25,2.53,5.04,0.03,859,829,0.377,0.099,0.194
880.04,12.55,2,1.57,3.14,2.51,0.04,1305,1275,0.778,0.048,0.193
442.02,3.414,1.4,1.24,1.74,1.56,0.03,1455,1425,0.892,0.042,0.193
168.03,12.55,2,1.57,3.14,2.51,0.08,1310,1280,0.778,0.048,0.193
HD 168443b,2549.011,26.12,0.14,3.73,9.88,0.3,604,574,0.225,0.164,0.192
